



                                                                Laporan Omset Harian

                                                          Dari 02 Feb 2024 s/d 02 Feb 2024

                                                                                Cabang : Optik Universal Sampit, Mata Uang : Indonesian Rupiah



                          Deskripsi                                                                        2 - 2 Feb 2024


                          Total Omset                                                                          11.220.000

                              Retur Penjualan                                                                           0
                          Penerimaan - Card                                                                             0

                          Penerimaan - Qris                                                                       105.000

                          Shopee                                                                                        0

                          Penerimaan Tunai                                                                      7.482.000
                          Piutang                                                                               3.633.000

                          Pengambilan - Card                                                                            0

                          Pengambilan - Qris                                                                            0

                          Pengambilan - Tunai                                                                           0
                          Total Penerimaan Tunai                                                                7.482.000



                          Pengeluaran                                                                                   0

                          Total Pengeluaran                                                                             0


                          Cash Diterima                                                                         7.482.000

































































